Continent,0,1,2,3,4,5,6,7,age,gender,accuracy,source,elapsed
Africa,0.175834642639,0.177414905903,0.143503953688,0.190600340356,0.142915162855,0.156557087189,0.124184063402,0.0754276623928,33.4243614931,1.55206286837,88.6483300589,1.9489194499,2750.91552063
Asia,0.164351967642,0.180531037535,0.176474874745,0.15448079631,0.18088002987,0.14362880607,0.121223758017,0.0821819401985,25.5206553704,1.58605237362,87.6437473743,2.88867105447,2435.71642627
Europe,0.155426703453,0.164190912384,0.155176928674,0.220169630378,0.126293085743,0.128477284224,0.124432216259,0.108675004954,30.4178121095,1.53140974668,87.2183346586,2.47631489265,1814.11030331
North America,0.165938360222,0.177004042383,0.141940740311,0.208258311585,0.120228141615,0.141140700881,0.1254214429,0.107996477952,87345.1818736,1.63482963324,91477.6363747,2.95718467919,2570.50309018
Oceania,0.151525860294,0.178159917713,0.147296452386,0.203029042754,0.12069332016,0.137668384887,0.131420436173,0.118541372519,35.8470995006,1.64733000384,88.2935074914,3.1644256627,2326.37456781
South America,0.151438022427,0.199257110009,0.131850400466,0.242335899341,0.145566331003,0.117196892097,0.134055335421,0.072916947602,23.1577777778,1.48,90.6066666667,2.89111111111,1588.68444444
none,0.166506138564,0.154958345453,0.158667749627,0.211179140426,0.129893143259,0.161284643346,0.123031927998,0.0801575500994,29.0285714286,1.4,89.7428571429,2.62857142857,1131.91428571
