gender,0,1,2,3,4,5,6,7,age,accuracy,source,elapsed
0,0.169755819982,0.171457560902,0.131636852877,0.202930909129,0.12243627243,0.106308988605,0.164500119493,0.130303077472,25.9949748744,89.040201005,2.98492462312,1570.73869347
1,0.172208991864,0.148288093371,0.119990733147,0.220185449861,0.119307619021,0.122295854108,0.147339472751,0.146141266312,27.0020793623,5871.01444002,2.85854560157,2147.61733957
2,0.168663335043,0.194594098958,0.148344011801,0.168855892447,0.128105284342,0.105727198568,0.155219062229,0.11639840897,27.7181800948,81510.0732133,2.84678672986,2490.96750711
3,0.0803309453921,0.257485401921,0.147318923037,0.222333088963,0.0974138392631,0.0987591542886,0.156415183224,0.176424874164,8659417.125,91.6411290323,2.45967741935,6446.64112903
