age_bucket,0,1,2,3,4,5,6,7,age,gender,accuracy,source,elapsed
0-19,0.152339004765,0.190611544136,0.152688306599,0.217574275981,0.115436648973,0.124119032663,0.129725206023,0.12548795079,17.4514753784,1.64298716229,107752.571518,3.07194864917,2524.59652232
20-29,0.177138315204,0.173093562066,0.133634983447,0.178823209619,0.12538232224,0.107367815309,0.156896202971,0.135196521388,24.4009401774,1.58260671772,88.2818257639,2.66062627948,2249.39502616
30-39,0.191885936848,0.160201590605,0.112991712859,0.159439112283,0.140015772524,0.0937642019808,0.181017890811,0.125257875371,34.9494382022,1.54474317817,89.3434991974,2.60433386838,2105.26705457
40-49,0.200302447207,0.14828437506,0.106879298485,0.137675434229,0.142822204404,0.0946063589764,0.195079610516,0.122584631106,45.1592023537,1.56489048709,90.828375286,2.63386727689,2437.52533508
50-59,0.198688669733,0.141573719317,0.10467794768,0.117710276455,0.142922091248,0.0935760874752,0.217439109342,0.129175302096,54.7381578947,1.55921052632,90.4078947368,2.72960526316,2551.86381579
60-69,0.192429910205,0.134028190709,0.096330809084,0.120484054892,0.151440355215,0.0862807413036,0.230132638011,0.142146218738,64.0658227848,1.48607594937,89.3924050633,2.64050632911,1241.58734177
70+,0.167066042872,0.13484989324,0.119087801497,0.135328309692,0.170791114695,0.10608254796,0.183301080307,0.156200615033,80.2545454545,1.61818181818,84.9636363636,2.85454545455,1026.90909091
